,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Nombre d'IVG selon le département ou la région de résidence de la femme, le lieu de réalisation de l'IVG et la méthode",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,non compris les ré-interventions dans un délai de 9 semaines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2022,,,,,,,2021,,,,,,,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,IVG en établissements hospitaliers,,,IVG hors établissements hospitaliers,,TOTAL IVG,taux de recours(p 1000 femmes de 15 à 49 ans)**,IVG en établissements hospitaliers,,,IVG hors établissements hospitaliers,,TOTAL IVG,taux de recours(p 1000 femmes de 15 à 49 ans)**,,IVG en établissements hospitaliers,,IVG hors établissements hospitaliers,,TOTAL IVG,taux de recours(p 1000 femmes de 15 à 49 ans)**,,,,,,,,,,,,,,,,,,,,,
,,Zone géographique,méthode instrumentale,méthode médicamenteuse,méthode non précisée,cabinet libéral 1,centres 2,,,méthode instrumentale,méthode médicamenteuse,méthode non précisée,cabinet libéral*,centres**,,,méthode instrumentale,méthode médicamenteuse,méthode non précisée,cabinet libéral*,centres**,,,,,,,,,,,,,,,,,,,,,,,
,,Total IVG réalisées en France,49 449,93 250,1 929,80 253,9 372,234 253,,47 226,92 010,1 798,67 905,8 694,217 633,,51 503,95 928,1 781,60 687,6 895,216 794,,,,,,,,,,,,,,,,,,,,,,
,,Auvergne -  Rhône-Alpes(***),6 052,9 009,165,8 247,1 476,24 949,"14,4",5 692,9 136,137,6 550,1 364,22 879,"13,2",6 218,9 360,161,6 230,1 167,23 136,"13,4",,,,,,,,,,,,,,,,,,,,,
,,Bourgogne -  Franche-Comté,1 345,2 836,428,2 449,142,7 200,"13,2",1 429,2 685,443,2 186,164,6 907,"12,6",1 547,2 830,237,2 027,42,6 683,"12,1",,,,,,,,,,,,,,,,,,,,,
,,Bretagne,2 429,4 187,43,1 917,185,8 761,"12,9",2 307,4 052,40,1 371,151,7 921,"11,7",2 500,4 030,54,1 202,159,7 945,"11,8",,,,,,,,,,,,,,,,,,,,,
,,Centre -  Val de Loire,1 900,3 738,38,1 505,233,7 414,"14,6",1 846,3 187,23,1 309,169,6 534,"12,8",1 970,3 276,46,1 118,120,6 530,"12,7",,,,,,,,,,,,,,,,,,,,,
,,Corse,141,675,30,314,43,1 203,"17,0",106,708,51,204,43,1 112,"15,8",128,749,44,252,0,1 173,"16,7",,,,,,,,,,,,,,,,,,,,,
,,Grand Est,2 609,9 410,138,2 579,125,14 861,"12,8",2 560,8 962,83,1 985,123,13 713,"11,8",2 807,9 170,112,1 632,86,13 807,"11,8",,,,,,,,,,,,,,,,,,,,,
,,Hauts-de-France,3 834,9 484,85,4 601,716,18 720,"14,4",3 666,9 254,74,3 535,654,17 183,"13,2",4 061,9 564,92,2 953,494,17 164,"13,1",,,,,,,,,,,,,,,,,,,,,
,,Ile-de-France,11 965,16 406,381,20 920,4 236,53 908,"18,1",11 345,17 034,338,18 563,4 058,51 338,"17,3",12 448,18 063,320,16 888,3 138,50 857,"17,1",,,,,,,,,,,,,,,,,,,,,
,,Normandie,1 529,4 596,57,2 520,208,8 910,"13,3",1 474,4 365,54,1 927,175,7 995,"11,9",1 671,4 540,99,1 877,130,8 317,"12,3",,,,,,,,,,,,,,,,,,,,,
,,Nouvelle-Aquitaine,4 302,6 959,107,6 286,625,18 279,"15,2",3 989,6 580,108,5 249,640,16 566,"13,8",4 141,6 836,108,4 760,598,16 443,"13,7",,,,,,,,,,,,,,,,,,,,,
,,Occitanie,4 171,8 008,149,8 697,426,21 451,"17,4",3 945,8 318,132,7 266,416,20 077,"16,3",4 296,8 746,130,6 502,332,20 006,"16,3",,,,,,,,,,,,,,,,,,,,,
,,Pays de la Loire,3 466,4 549,49,1 194,44,9 302,"11,6",3 397,4 354,55,873,26,8 705,"10,9",3 414,4 515,73,682,17,8 701,"10,9",,,,,,,,,,,,,,,,,,,,,
,,Provence - Alpes - Côte d'Azur(***),3 664,8 535,194,10 445,645,23 483,"22,6",3 549,8 451,159,9 305,490,21 954,"21,1",4 219,8 786,245,8 096,414,21 760,"20,9",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1 y compris les IVG en téléconsultations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
